SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch
0,0,0,0,0,1,0,0,1,0,0,0,0,1,4.641
1,1,0,1,1,1,0,1,0,0,1,1,1,1,5.183
0,0,1,0,0,1,1,1,0,1,0,1,1,1,5.219
0,0,0,1,1,1,0,0,1,0,1,1,1,0,5.093
0,1,0,0,1,1,0,0,1,0,0,0,0,0,4.593
1,0,0,0,0,1,1,1,0,0,0,1,0,0,5.246
1,1,0,1,0,0,0,1,1,0,0,1,1,1,5.155
1,1,0,0,0,1,1,1,0,0,0,0,1,0,4.517
1,0,0,1,1,0,0,1,1,1,1,1,1,1,5.254
0,1,1,0,1,0,1,1,1,0,0,1,1,1,5.145
0,1,0,1,1,0,1,1,0,0,0,0,1,0,4.555
1,0,0,0,1,1,1,1,1,1,1,0,0,0,4.636
1,0,1,1,0,1,0,1,0,0,1,1,0,1,5.129
1,0,1,0,1,0,0,1,1,0,1,0,0,1,4.569
1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.527
1,1,1,0,1,1,0,0,1,1,0,1,1,1,5.223
0,1,0,1,1,0,0,0,1,0,1,0,0,1,4.514
1,0,1,0,1,1,0,1,1,1,1,0,1,1,4.523
0,0,0,1,1,0,1,1,0,1,1,1,0,0,5.195
1,0,0,0,0,1,0,1,1,0,1,0,0,1,4.52
1,0,1,0,0,1,1,1,1,1,0,0,1,0,4.555
0,0,0,1,0,0,1,1,1,1,1,0,1,1,4.563
0,0,0,0,1,0,1,1,1,1,1,1,0,0,5.432
0,1,1,0,0,0,1,0,1,0,1,0,1,0,4.429
0,1,0,0,1,0,1,0,0,0,1,0,0,0,4.502
1,0,0,1,1,1,0,1,0,1,1,1,1,1,5.286
1,1,0,0,1,0,0,0,1,1,1,1,1,0,5.238
1,1,0,1,0,0,0,0,0,1,0,1,1,1,5.205
0,0,1,1,1,1,1,0,1,1,0,1,1,0,5.193
0,1,1,0,0,0,1,0,1,0,0,0,1,0,4.577
0,1,0,1,1,0,1,1,0,1,1,1,0,0,5.25
0,1,1,0,0,1,0,0,1,1,1,1,1,1,5.119
1,0,1,1,0,1,1,0,1,1,0,1,0,0,5.267
0,1,0,1,0,0,1,1,1,0,1,0,0,1,4.498
1,0,1,1,0,0,1,0,1,0,1,1,1,1,5.217
0,0,1,1,0,1,1,0,1,0,1,0,0,1,4.521
0,0,0,1,1,1,0,1,0,1,0,1,0,1,5.209
1,1,1,0,0,0,0,1,1,1,1,1,0,1,5.305
0,1,0,0,0,1,0,0,1,1,0,0,1,0,4.53
1,0,0,1,1,1,1,0,1,0,0,0,1,1,4.534
1,1,0,1,1,1,1,1,0,1,1,1,1,1,5.283
1,0,1,0,0,1,0,0,1,1,1,0,0,1,4.644
0,1,0,1,1,0,1,1,1,1,1,1,0,0,5.156
1,0,0,1,0,1,0,0,0,1,1,0,0,1,4.569
0,1,0,1,0,1,1,1,0,0,1,1,1,0,5.204
1,0,1,1,0,0,0,1,1,0,1,1,1,1,5.099
1,0,1,1,0,0,0,0,1,0,1,1,1,1,5.207
0,1,1,1,1,0,1,1,0,1,0,1,0,1,5.216
1,1,1,1,1,1,1,0,0,0,0,0,0,1,4.619
1,0,0,0,1,0,0,0,1,1,1,0,0,1,4.57
0,0,0,0,1,0,1,0,1,1,1,0,0,0,4.579
0,1,1,1,0,1,1,1,0,1,1,0,1,0,4.461
0,1,1,0,0,0,1,0,1,0,1,1,1,0,5.108
0,0,0,0,0,1,0,0,0,0,0,1,0,1,5.17
1,1,0,0,0,1,1,1,0,0,1,1,1,0,5.396
1,0,0,0,0,0,1,0,0,0,0,1,0,0,5.23
1,1,0,1,1,1,0,1,0,1,0,1,1,0,5.148
0,1,0,1,1,1,1,0,1,1,1,0,1,1,4.53
0,1,0,1,1,0,0,0,0,0,0,0,0,1,4.57
1,1,0,1,0,0,0,1,1,1,0,0,1,0,4.63
0,1,0,1,1,0,0,0,0,0,1,1,1,0,5.149
0,1,1,1,0,1,1,1,1,1,0,0,1,1,4.59
0,0,1,1,1,0,1,1,0,1,1,0,1,1,4.566
1,1,0,0,0,0,1,0,1,1,0,1,0,1,5.372
0,0,0,0,1,0,1,1,0,0,1,1,1,0,5.193
1,1,0,1,0,0,0,0,0,0,1,0,0,0,4.509
0,1,1,0,0,0,1,1,0,1,0,0,1,0,4.569
1,0,1,1,1,1,0,0,1,0,1,0,0,1,4.608
1,1,1,1,0,0,1,0,1,1,1,1,0,0,5.152
1,0,1,0,0,0,1,1,0,0,0,0,0,0,4.54
1,1,1,0,1,1,0,0,1,0,0,0,0,0,4.595
1,1,0,0,1,1,0,0,1,0,0,1,0,0,5.24
0,0,0,1,1,0,1,0,0,1,0,0,0,0,4.585
0,0,0,0,1,1,0,0,1,0,1,1,0,0,5.101
0,0,1,1,0,0,1,1,1,1,1,0,0,1,4.544
1,0,1,0,0,0,0,1,0,1,0,0,0,0,4.626
0,0,1,0,1,1,0,0,1,0,0,1,1,0,5.234
0,0,0,1,1,1,0,1,0,1,0,1,1,1,5.164
1,1,1,1,1,0,1,0,0,1,1,0,1,0,4.455
0,1,1,1,0,1,1,1,0,0,1,1,1,1,5.035
0,0,1,1,0,1,0,0,1,0,0,0,1,0,4.527
0,1,1,1,1,0,0,1,0,0,1,1,0,1,5.091
0,0,1,1,0,0,1,1,0,0,1,0,0,1,4.547
1,1,1,0,1,1,1,0,1,0,0,0,1,0,4.573
1,1,0,0,1,0,1,0,0,1,0,0,0,0,4.706
0,0,1,1,1,1,0,1,0,1,0,1,1,1,5.196
0,0,1,1,1,0,1,0,0,1,1,0,1,1,4.798
0,1,0,0,1,0,0,0,1,1,0,0,1,0,4.554
0,0,1,0,0,0,1,1,0,0,1,1,0,0,5.18
1,1,0,0,0,0,0,1,1,1,1,0,0,0,4.672
0,1,0,0,1,0,0,0,0,1,1,0,1,0,4.545
0,0,1,1,0,0,0,1,0,0,0,0,0,0,4.523
1,0,1,0,1,0,0,0,1,0,0,1,0,0,5.247
1,0,1,1,1,0,0,1,0,0,0,1,1,0,5.248
0,1,1,0,0,0,1,1,0,1,0,0,0,1,4.581
1,0,1,1,0,0,0,0,0,0,1,0,1,0,4.612
1,0,0,0,0,0,1,0,0,1,1,0,1,1,4.61
1,1,1,1,0,1,0,1,0,0,0,1,1,0,5.178
0,1,1,0,0,0,0,0,1,1,1,1,0,0,5.511
1,1,1,1,0,0,0,1,1,1,0,0,0,0,4.617
0,0,0,1,1,0,0,0,0,1,1,0,1,0,4.575
1,1,0,0,1,0,0,0,1,1,0,0,1,0,4.534
0,1,1,0,0,0,1,0,1,1,0,0,1,1,4.605
1,1,1,0,0,1,0,0,1,1,0,1,1,0,5.208
0,1,0,1,0,1,1,1,1,1,1,0,1,1,4.571
0,1,1,0,0,1,0,0,1,0,1,1,0,0,5.157
1,0,0,0,1,1,0,0,1,1,0,1,1,1,5.143
0,0,1,0,0,1,1,1,1,0,1,1,1,0,5.198
0,1,0,1,1,0,1,1,1,0,1,0,0,1,4.506
1,0,1,0,0,0,0,0,1,0,0,0,1,1,4.538
0,1,1,0,0,0,1,0,0,0,0,0,1,1,4.581
0,1,1,0,0,1,0,0,0,1,1,1,1,1,5.104
0,1,0,1,0,0,0,0,0,0,0,0,1,1,4.524
0,0,1,0,1,0,0,1,1,0,1,0,0,0,4.607
1,1,0,0,0,1,1,0,1,0,0,1,0,1,5.243
1,0,0,0,0,0,1,0,1,1,0,0,1,1,4.528
0,1,1,1,0,1,0,0,1,0,1,0,1,0,4.556
0,0,0,1,0,0,0,1,1,0,0,0,1,0,4.645
1,0,1,0,1,0,0,0,0,1,0,1,1,0,5.218
1,0,0,1,1,0,1,0,1,1,1,0,0,1,4.55
1,1,1,0,1,0,1,0,1,1,0,0,1,1,4.767
0,1,1,1,0,0,1,1,1,0,1,1,1,0,5.059
1,1,0,1,1,0,1,1,1,0,0,1,1,0,5.085
1,0,1,0,0,1,0,1,0,1,1,0,1,0,4.823
0,1,0,0,1,0,0,0,1,0,1,0,1,1,4.444
1,0,0,1,1,0,1,0,0,0,1,0,0,0,4.622
1,0,1,0,1,1,1,0,0,1,0,0,0,1,4.694
1,1,1,1,0,0,0,1,1,1,1,1,0,1,5.243
1,1,1,0,0,0,0,1,0,1,0,1,0,0,5.251
1,0,0,1,1,1,0,0,0,0,0,0,0,1,4.614
0,1,1,1,0,0,0,1,1,0,1,1,0,1,5.079
0,1,0,1,1,0,0,0,0,0,0,1,0,1,5.26
0,0,0,0,0,1,1,0,1,1,1,0,0,0,4.532
0,1,1,0,0,0,0,1,0,1,1,0,1,0,4.533
0,1,1,0,1,1,0,0,0,1,0,1,1,1,5.152
1,1,1,1,0,1,1,1,0,1,0,0,1,0,4.568
0,1,0,0,1,0,1,0,1,1,0,1,0,0,5.262
1,1,0,1,0,1,1,0,0,1,1,1,1,0,5.232
1,1,1,0,1,0,1,1,1,0,1,0,0,1,4.697
1,0,0,0,0,1,1,0,1,1,1,1,1,0,5.261
0,0,1,1,0,1,1,1,1,1,1,0,0,0,4.533
0,1,0,1,1,0,1,1,1,0,0,0,1,1,4.443
1,0,1,1,0,0,1,0,1,0,0,1,1,1,5.166
0,1,0,0,1,0,1,0,1,0,0,0,1,1,4.564
1,1,1,1,1,0,1,0,1,1,0,0,0,0,4.635
0,1,0,1,0,0,1,0,0,1,1,1,0,0,5.176
1,1,1,1,1,1,1,1,1,1,0,0,0,0,4.633
0,1,0,1,1,0,1,0,1,0,1,1,0,0,5.064
1,0,0,1,1,0,0,0,0,1,1,0,0,1,4.645
1,1,0,1,0,1,1,0,0,1,1,1,0,0,5.189
0,0,1,1,1,1,0,0,1,0,0,0,0,1,4.574
0,0,1,0,0,0,0,0,1,1,1,1,0,0,5.187
0,0,1,0,0,1,0,0,0,0,1,0,1,0,4.471
1,0,1,0,0,1,1,0,0,1,1,0,0,0,4.541
1,0,0,1,0,0,1,0,1,0,1,1,0,1,5.198
0,0,1,1,1,0,1,0,0,1,1,0,1,0,4.553
1,1,1,1,0,1,1,0,0,0,1,0,1,1,4.441
1,1,0,1,1,1,0,1,0,0,1,1,1,1,5.207
0,1,0,1,1,0,1,0,1,0,0,0,0,0,4.643
1,0,0,0,1,0,1,1,1,0,0,1,1,1,5.207
0,0,1,0,1,1,1,0,0,0,0,1,1,0,5.096
1,0,1,0,0,1,1,0,0,0,1,0,1,0,4.432
0,0,0,0,1,1,0,1,1,1,1,1,0,1,5.203
0,0,0,1,0,1,1,0,0,1,0,0,1,1,4.538
1,1,0,1,0,0,0,0,1,1,1,1,0,0,5.393
0,1,1,1,0,1,0,1,1,0,1,1,1,1,5.046
0,1,1,1,0,1,1,1,0,0,0,1,1,1,5.137
1,0,0,0,0,0,1,0,0,1,0,1,1,0,5.271
1,1,1,0,1,1,1,1,0,0,0,0,1,1,4.574
1,1,1,1,0,0,0,1,1,0,1,0,0,0,4.595
0,0,0,1,0,0,1,1,1,1,0,1,0,0,5.327
0,0,1,1,0,1,0,0,0,1,1,0,1,0,4.463
0,0,0,1,1,0,0,1,0,1,0,1,1,1,5.117
1,1,0,1,1,1,0,1,0,0,1,0,0,1,4.523
1,0,1,1,1,1,1,1,0,1,0,0,0,1,4.64
0,0,1,0,1,0,1,0,1,0,0,0,1,0,4.581
0,1,0,0,0,1,0,0,0,0,0,1,1,0,5.093
0,0,1,0,1,0,0,0,0,1,1,0,0,0,4.537
1,1,0,1,0,1,1,0,1,0,0,0,1,1,4.549
1,0,0,1,0,0,0,1,1,0,1,0,1,1,4.483
1,1,0,1,1,0,1,0,0,1,1,0,0,1,4.657
0,0,0,0,1,0,0,0,1,1,1,0,1,1,4.617
0,1,1,0,0,0,0,1,0,1,0,1,1,1,5.153
1,0,1,0,0,1,0,0,1,0,1,0,0,0,4.559
0,1,0,1,1,1,0,0,1,0,1,0,0,0,4.488
0,1,1,0,0,0,1,0,0,1,1,0,1,1,4.461
1,0,0,1,1,0,1,1,0,1,0,1,1,1,5.188
1,0,1,1,0,1,0,1,1,0,1,1,1,1,5.129
0,0,1,1,1,0,1,1,1,1,1,0,1,1,4.566
1,0,1,1,1,0,1,1,1,0,0,0,0,0,4.553
1,0,1,1,1,1,0,0,0,0,1,0,1,0,4.503
0,0,1,0,0,0,1,1,0,1,0,1,1,0,5.229
1,1,1,0,1,1,1,1,0,0,0,1,1,1,5.175
0,1,0,1,0,1,1,0,1,0,1,0,1,1,4.522
0,1,1,1,0,0,0,0,1,1,1,0,0,0,4.605
0,1,0,1,0,1,0,1,0,0,0,0,1,1,4.493
1,1,0,0,1,0,0,1,0,0,0,1,1,0,5.428
0,1,0,1,1,0,0,0,1,0,1,0,0,1,4.508
0,1,1,0,0,1,1,0,0,1,0,0,0,0,4.594
0,0,1,1,1,1,1,0,0,1,0,1,1,1,5.65
1,0,1,1,1,1,0,1,0,1,0,0,0,1,4.666
1,1,1,0,1,0,1,0,1,1,0,0,0,0,4.627
1,0,0,0,1,1,0,1,1,0,1,1,1,1,5.222
0,1,1,0,1,1,1,1,1,1,1,0,1,1,4.496
0,0,1,0,1,1,1,1,1,0,1,1,0,1,5.075
0,0,1,1,1,0,0,1,1,1,0,1,1,1,5.241
0,0,0,0,1,0,1,1,0,1,0,0,0,0,4.556
1,1,1,1,1,1,1,1,0,0,0,0,1,1,4.543
0,0,1,1,0,0,0,1,1,0,0,0,1,1,4.5
0,0,1,0,1,1,1,0,1,1,1,1,0,0,5.191
0,1,0,1,1,0,0,0,1,1,0,0,1,1,4.535
0,0,1,1,1,0,1,0,0,1,1,1,1,0,5.174
0,0,0,1,0,0,0,0,1,0,1,1,0,1,5.16
0,0,0,0,0,1,1,0,1,1,1,0,0,1,4.648
1,0,1,1,1,1,0,1,1,1,0,1,1,0,5.273
1,0,0,0,1,0,1,1,0,0,1,0,1,0,4.508
1,0,0,0,1,0,1,0,1,0,1,0,1,0,4.427
0,0,0,1,0,1,1,1,0,0,1,1,1,0,5.196
1,1,0,1,1,1,0,1,1,0,0,1,0,1,5.306
0,1,0,0,0,1,1,1,0,1,0,0,1,0,4.496
1,1,1,0,0,1,1,1,1,1,0,1,1,1,5.283
1,1,0,1,1,0,1,1,0,1,0,0,0,1,4.644
0,1,1,0,0,1,0,1,0,0,1,1,0,1,5.141
1,1,1,0,0,1,0,1,0,1,1,1,0,0,5.253
1,1,0,1,1,1,1,0,0,0,1,0,1,0,4.611
1,0,0,0,0,0,1,0,0,1,0,1,1,1,5.269
1,1,0,1,1,0,1,1,0,1,0,1,0,1,5.298
0,1,1,0,0,1,0,0,1,1,0,0,1,1,4.586
1,1,1,1,1,1,1,0,1,1,1,0,0,0,4.588
1,1,1,0,1,1,1,0,1,1,0,0,1,1,4.633
0,0,1,0,1,1,1,1,1,0,0,1,1,1,5.196
1,0,0,1,1,1,1,1,1,1,0,1,0,1,5.276
1,0,1,1,1,0,0,0,1,1,0,0,1,1,4.579
1,0,0,1,1,1,1,0,1,1,1,1,1,0,5.366
0,0,1,1,1,0,1,1,1,1,0,1,0,0,5.219
1,0,0,0,0,0,1,0,1,1,0,0,0,1,4.653
0,1,0,0,1,0,1,0,1,0,0,0,1,0,4.493
1,0,0,1,1,1,0,1,0,0,0,1,1,1,5.162
0,0,1,0,0,1,1,1,1,0,0,0,0,1,4.61
1,1,0,1,1,0,1,1,0,0,1,0,0,0,4.488
0,1,0,0,1,1,1,1,1,0,1,1,0,1,5.081
1,0,1,0,1,0,1,1,1,1,1,0,0,1,4.572
1,0,0,0,1,0,1,1,1,0,1,0,0,1,4.662
0,0,1,1,1,0,1,0,1,1,1,1,0,1,5.121
1,1,1,1,0,0,0,0,0,0,0,0,1,0,4.552
0,1,1,1,1,0,0,1,0,0,0,0,1,1,4.713
1,1,0,1,1,0,1,0,1,0,1,1,0,1,5.138
1,0,1,0,1,1,1,0,1,0,1,1,0,1,5.201
0,0,0,1,0,1,0,0,1,0,0,1,0,0,5.177
0,0,0,1,0,0,1,0,1,0,0,0,0,1,4.827
0,1,1,1,1,0,0,0,1,0,1,1,0,0,5.069
0,1,0,1,0,0,0,0,1,1,1,1,1,0,5.104
0,0,0,1,1,1,0,1,1,1,1,1,1,1,5.224
1,1,1,0,0,0,1,1,0,1,1,1,0,0,5.263
0,1,0,0,0,1,1,1,0,0,1,0,1,0,4.432
1,1,0,1,0,0,0,0,0,0,0,0,1,0,4.537
0,0,1,1,0,0,1,0,1,1,1,1,1,1,5.553
1,1,1,1,1,0,1,0,1,0,1,1,1,1,5.372
1,0,1,1,1,0,0,0,0,1,1,1,0,1,5.238
0,0,0,1,0,0,1,0,1,1,0,0,0,1,4.663
1,0,0,1,0,1,0,0,1,0,1,1,1,1,5.174
1,1,0,0,1,0,1,0,0,0,0,0,1,1,4.525
0,1,1,0,0,1,0,0,0,1,1,1,0,1,5.265
1,1,1,0,0,0,0,0,1,0,0,0,0,1,4.566
0,0,1,0,1,1,0,0,0,0,1,0,0,1,4.528
1,1,1,1,0,1,1,0,0,1,1,0,1,1,4.507
0,1,0,0,1,1,0,0,0,1,1,1,0,0,5.171
0,0,0,1,0,0,0,0,0,1,1,0,0,1,4.67
0,0,1,1,1,1,1,0,0,0,1,1,1,1,5.153
0,0,1,1,0,1,0,1,1,1,1,1,0,1,5.219
0,0,1,0,1,0,1,0,1,1,0,1,0,0,5.211
1,1,1,0,0,1,0,1,0,1,0,0,1,0,4.569
0,1,1,0,0,0,0,1,0,1,1,1,1,1,5.141
0,0,0,1,1,1,0,0,0,1,1,1,1,0,5.174
0,1,0,0,0,1,1,0,1,1,1,1,1,0,5.176
1,1,0,1,0,0,1,1,1,0,1,0,1,0,4.477
1,0,1,0,1,0,1,0,0,1,1,1,1,1,5.289
1,1,0,0,0,1,0,1,0,1,1,0,1,0,4.653
1,1,0,1,1,1,0,0,1,1,1,1,1,0,5.381
0,1,1,1,0,0,0,1,1,1,1,1,0,0,5.264
0,1,1,1,0,1,0,0,0,0,0,0,0,0,4.502
1,0,1,0,0,0,1,0,0,0,1,0,1,0,4.536
1,0,0,0,1,0,1,1,0,1,0,0,0,1,4.595
0,0,1,0,0,1,0,0,0,0,0,0,1,1,4.527
0,1,0,0,1,0,0,0,0,1,0,0,1,1,4.533
0,0,1,0,1,0,1,1,0,0,1,1,0,0,5.435
1,1,0,1,0,0,0,1,0,1,1,1,0,1,5.206
0,0,1,0,0,1,0,0,1,0,0,1,0,1,5.213
0,0,0,1,0,1,1,0,0,0,1,1,0,0,5.22
0,0,1,1,1,0,0,0,1,0,0,0,0,1,4.55
0,1,0,1,1,0,0,0,1,0,1,0,0,0,4.502
1,0,0,0,0,0,1,0,1,0,1,1,1,1,5.193
0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.474
1,1,1,1,0,0,0,0,1,1,1,1,1,0,5.235
0,0,0,0,0,0,1,1,0,0,0,0,1,1,4.517
0,1,0,0,0,1,1,0,1,0,1,1,0,0,5.064
0,0,0,0,1,1,0,1,1,1,0,0,0,0,4.616
0,0,1,0,0,0,1,1,1,0,0,0,0,1,4.59
0,0,1,0,1,0,1,0,0,0,1,1,1,1,5.14
0,0,1,1,0,1,1,1,1,0,0,0,1,0,4.513
0,0,1,0,1,1,0,1,0,1,0,0,1,1,4.571
1,1,0,1,0,0,0,0,0,0,0,1,1,0,5.191
0,1,1,0,0,0,1,0,1,1,0,0,0,0,4.807
1,1,0,1,1,1,0,0,0,1,0,0,0,1,4.692
1,0,1,0,1,1,0,0,1,1,1,0,1,1,4.45
1,0,0,0,1,1,1,0,0,1,1,0,1,1,4.584
1,1,1,0,1,0,1,0,1,1,1,0,0,0,4.681
1,1,0,1,0,0,1,0,0,0,1,0,1,1,4.536
1,1,1,0,0,1,1,0,1,0,0,0,0,0,4.621
1,1,0,0,0,0,0,1,1,0,0,1,1,0,5.105
0,0,1,1,0,0,1,1,0,0,0,1,1,1,5.145
0,1,0,1,0,1,0,1,1,1,1,1,0,1,5.202
0,1,1,0,1,1,0,1,0,1,0,0,1,1,4.531
1,1,1,0,0,1,0,0,0,1,0,1,1,0,5.247
1,0,1,0,0,1,0,0,1,0,1,1,1,1,5.133
1,1,0,1,0,1,0,0,0,1,0,0,1,0,4.619
0,0,1,1,0,1,1,0,0,1,0,1,1,0,5.184
0,1,0,0,1,0,1,1,0,1,0,1,1,1,5.191
0,1,0,1,0,0,0,1,0,1,1,1,0,1,5.184
1,0,1,1,1,0,0,0,1,1,1,0,1,1,4.691
0,1,0,0,0,0,1,0,0,1,1,1,0,1,5.325
0,0,0,1,0,1,1,0,1,1,1,1,1,1,5.296
1,0,0,0,0,1,0,0,1,0,0,1,1,0,5.188
0,0,0,0,0,1,0,0,1,1,1,0,0,1,4.514
1,0,1,1,0,0,1,1,0,1,1,1,1,1,5.198
0,0,0,0,1,0,1,1,0,0,1,1,0,0,5.144
0,1,1,1,1,0,1,1,0,1,1,0,1,0,4.489
0,1,1,0,1,0,1,0,1,0,0,1,1,1,5.127
1,1,0,1,0,1,0,0,1,0,1,0,1,1,4.51
0,0,1,1,1,0,1,1,0,0,0,1,1,1,5.172
1,1,1,0,0,0,0,1,1,0,0,0,1,0,4.55
0,0,0,1,0,1,1,1,1,0,0,1,0,1,5.286
1,1,0,0,0,0,1,0,1,1,1,0,0,1,4.643
0,1,1,0,1,0,0,1,1,0,0,0,0,1,4.497
1,1,0,1,0,1,1,0,0,1,1,1,0,1,5.219
1,1,1,0,1,0,1,0,1,0,0,1,0,0,5.316
0,1,1,0,1,0,0,1,1,1,0,0,0,0,4.611
1,1,0,0,0,0,1,1,0,1,0,0,1,1,4.602
0,1,1,0,1,0,1,1,1,1,0,0,0,1,4.645
0,0,1,0,1,1,0,1,0,0,0,1,1,0,5.115
0,1,0,1,1,1,1,0,1,1,1,1,0,1,5.325
0,0,1,1,0,0,0,0,1,1,0,0,0,0,4.513
1,1,0,0,0,1,0,0,1,0,1,1,0,1,5.159
0,1,0,1,0,1,1,0,1,1,0,0,1,0,4.577
0,0,1,1,0,0,0,1,1,0,1,1,1,0,5.05
0,0,1,1,0,1,0,1,1,0,1,1,0,1,5.683
0,1,0,0,0,1,0,0,1,0,1,0,0,1,4.495
1,0,1,0,0,1,0,1,1,1,0,1,1,1,5.528
0,1,1,1,1,0,0,0,1,0,0,0,0,0,5.222
1,1,0,1,0,1,0,1,0,1,1,0,1,1,4.609
1,1,1,1,1,1,0,1,1,0,0,1,1,0,5.153
0,1,0,1,0,0,0,1,0,0,1,0,0,0,4.458
0,1,0,0,1,0,1,1,1,0,1,1,1,1,5.13
1,1,0,1,0,1,0,0,0,0,0,0,0,1,4.695
0,1,1,0,1,0,1,0,1,0,0,1,1,0,5.131
0,0,0,0,0,1,1,1,0,0,0,0,0,1,4.566
0,1,1,0,0,1,1,1,0,0,0,0,1,1,4.576
1,0,0,1,1,1,0,1,1,0,1,1,1,1,5.21
0,1,0,0,1,1,1,0,0,1,0,0,1,1,4.544
1,0,0,1,1,0,0,0,0,1,0,1,0,1,5.341
0,1,0,0,0,0,0,1,1,0,1,0,0,1,4.461
1,1,1,0,0,1,1,0,0,0,1,0,0,1,4.504
0,1,0,1,0,1,1,0,0,0,1,0,1,0,4.598
1,1,1,0,0,1,0,1,1,1,1,1,0,0,5.349
1,1,0,1,0,1,0,0,1,1,1,0,0,1,4.64
0,0,0,0,1,0,0,1,0,1,1,1,0,1,5.203
1,1,0,1,0,1,0,0,0,0,0,1,0,0,5.295
1,1,1,0,0,1,1,1,0,1,0,0,0,0,4.578
1,1,1,1,0,0,0,0,1,0,0,0,1,0,4.568
1,0,1,1,0,1,0,1,1,1,0,1,0,0,5.277
1,0,0,1,1,1,1,1,0,0,1,1,0,1,5.243
0,0,1,1,0,1,0,1,0,1,1,1,1,0,5.151
1,1,1,0,0,1,0,0,0,1,0,0,1,0,4.61
0,0,1,1,0,0,0,0,0,1,0,0,0,0,4.604
1,1,0,0,0,1,0,0,0,0,1,0,0,1,4.527
0,1,0,1,0,1,0,1,0,0,0,0,0,0,4.645
0,1,1,1,1,1,0,0,1,0,0,1,0,0,5.113
1,0,1,1,1,0,1,0,1,0,1,0,0,1,4.52
0,0,1,1,0,1,1,1,1,0,0,1,0,1,5.198
1,1,1,1,0,0,0,0,0,1,1,1,0,0,5.218
1,1,1,1,1,1,1,0,0,0,0,0,0,0,4.505
0,0,1,0,0,0,0,0,0,0,1,0,1,0,4.453
0,1,1,0,1,1,1,0,0,0,1,0,1,1,4.529
0,0,1,1,1,0,0,0,0,0,0,1,1,0,5.151
1,0,1,1,0,1,1,1,1,0,0,0,1,1,4.544
1,1,0,0,1,0,0,1,1,1,0,0,0,0,4.666
0,1,0,1,0,0,0,1,1,0,0,1,0,1,5.234
1,0,0,0,1,0,1,0,1,0,0,1,0,1,5.322
1,1,0,0,0,1,0,0,1,0,1,0,0,1,4.494
1,0,0,1,0,0,0,1,0,1,1,0,1,0,4.787
0,0,1,1,1,0,0,0,0,0,1,1,0,0,5.147
0,0,0,1,0,1,1,0,1,0,1,0,0,0,4.598
1,1,0,1,1,0,0,0,0,1,0,1,0,1,5.353
0,0,0,0,0,1,1,1,1,0,0,0,0,0,4.544
0,1,1,0,0,1,0,1,0,0,0,0,1,1,4.536
0,0,0,0,0,1,0,1,1,1,0,1,1,0,5.131
1,1,0,0,1,1,0,0,0,1,0,0,1,1,4.615
1,1,0,0,0,1,0,0,1,0,0,1,1,1,5.18
0,1,1,0,1,0,0,0,0,1,0,1,0,1,5.208
1,0,0,0,0,1,1,0,1,0,0,1,0,0,5.274
0,0,1,0,1,1,0,0,1,0,1,1,0,1,5.196
0,1,1,1,0,1,0,0,1,0,1,1,0,0,5.21
0,1,1,1,0,1,1,0,0,1,0,0,1,0,4.974
1,1,1,0,1,1,1,1,0,0,0,0,1,1,4.567
0,1,0,0,0,1,0,0,0,0,0,0,1,1,4.536
0,0,1,0,0,0,1,1,1,1,1,0,0,1,4.539
1,1,0,1,1,1,1,0,0,1,1,0,0,0,4.589
0,1,0,1,0,1,1,1,0,0,0,1,0,0,5.187
1,0,1,1,0,0,1,1,1,0,1,1,0,0,5.153
1,0,0,1,0,0,0,0,0,0,1,0,0,1,4.498
1,1,0,1,0,0,1,1,1,0,0,1,0,0,5.221
1,0,1,1,0,0,0,1,1,0,0,1,0,0,5.729
0,1,0,1,1,1,0,1,0,1,1,0,0,1,4.582
1,1,0,1,1,1,0,1,1,0,0,0,1,0,4.444
1,1,1,1,1,1,0,0,1,0,0,1,1,0,5.139
1,0,1,0,1,0,1,0,1,0,0,1,0,0,5.231
0,0,0,1,1,0,0,1,0,0,0,1,1,1,5.059
0,0,1,0,0,0,0,1,0,0,0,1,0,0,5.155
1,0,1,1,0,1,0,0,0,1,0,0,0,0,4.66
0,0,0,0,1,1,1,1,0,0,0,0,0,0,4.595
1,0,0,1,0,0,0,0,0,1,1,1,0,0,5.322
1,1,1,0,1,0,1,1,0,1,1,0,1,0,4.519
0,1,0,0,0,1,0,1,0,1,1,1,0,0,5.203
1,0,1,1,0,1,1,1,0,1,1,1,0,1,5.237
1,0,0,0,0,0,0,1,0,1,0,1,0,1,5.328
0,0,1,1,1,0,1,1,0,1,0,0,1,1,4.573
0,0,1,1,1,1,0,1,0,1,1,1,0,0,5.215
